seed_id,nid,news_id,summary,original_title,category,subvert,original_clickbait_penalty,original_predicted_clickbait,zero_shot_title,zero_shot_model,zero_shot_error
1,19315,N33438,"There's really nothing easy about being a NASA astronaut on the International Space Station, and the same goes for spacewalking outside of the orbiting laboratory. It's hard work, and when spacewalks stretch on for hours and hours, you have to be in excellent physical condition to make it through.",NASA's Christina Koch got a little bit messy during first all-female spacewalk,news,newsscienceandtechnology,0.9999181,1,,,dry_run_skipped
2,44364,N60123,"LODI -- Spain's king of red grapes, Tempranillo, has found a home in Lodi, where talented growers and winemakers respect and know how to handle the variety. To celebrate International Tempranillo Day, Bokisch Vineyards is putting on the fourth annual Lodi Tour of Tempranillo Friday through Sunday. This year, 13 boutique wineries in the Lodi American Viticultural Area will showcase their ...",Tour of Tempranillo offers taste of Lodi's take on the Spanish varietal,foodanddrink,newstrends,0.0020869977,0,,,dry_run_skipped
3,24888,N27810,"Today, roller coasters have become instruments of adrenaline (or torture, depending on your perspective). They break speed records, hurl passengers through space, and some are even designed to trick riders.",The Best Roller Coasters Around the World,travel,traveltripideas,0.99994266,1,,,dry_run_skipped
4,50407,N13403,"The Seattle Seahawks once again rallied for a win, this time over the previously unbeaten 49ers. And this Seattle team is for real, writes Mike Jones.",'We always believe': Win over 49ers proves Seattle Seahawks' mindset is more than just lip service,sports,football_nfl,0.00012817541,0,,,dry_run_skipped
5,42378,N7244,Listed starters for the Cyclones and Longhorns in their 2019 Big 12 Conference matchup at Jack Trice Stadium in Ames.,Depth charts: Projected starters for Iowa State vs. No. 23 Texas,sports,football_ncaa,0.00015676561,0,,,dry_run_skipped
6,63352,N1369,A local airman returned home to the Miami Valley on Friday and was greeted by dozens of family and friends.,Local Airman returns from 6 Months in Afghanistan,health,wellness,8.4165134e-05,0,,,dry_run_skipped
7,29280,N3913,"Students at Hartford's new Weaver campus are working to erase stark lines dividing the building's two school communities, the public school drawing students from the neighborhoods and the magnet arts school that mostly serves the suburbs. Working with staff and administrators, they're trying to counteract some of the unintended consequences of relocating and reorganizing three high schools ...","Hartford's Weaver forging a new identity at campus shared by public, magnet students",news,newsus,0.00013871084,0,,,dry_run_skipped
8,13158,N36369,"Considering that Domingue is slated to be an unrestricted free agent this summer, finding an opportunity to play regularly (even if it isn't necessarily at the NHL level to start with) would be ideal.",Louis Domingue changes agents amid attempt to play at NHL level again,sports,icehockey_nhl,7.8780766e-05,0,,,dry_run_skipped
9,5749,N61058,A driver was fatally shot in St. Paul on Sunday night and police are searching for the person responsible.,Driver dies after being shot in St. Paul's Summit-U area,news,newsworld,7.788181e-05,0,,,dry_run_skipped
10,37719,N1117,The playoffs begin next week across Oklahoma. Here is a complete list of the first-round playoff pairings for each class. Class 6A-I Moore at Edmond Santa Fe Jenks at Mustang Norman at Owasso Tulsa Union at Broken Arrow Class 6A-II Sapulpa at Stillwater Choctaw at Muskogee Midwest City at Bixby Tulsa Washington at Del City Class 5A Woodward at Noble Tulsa Kelley at Collinsville Pryor ...,High school football: First-round playoff pairings,sports,basketball_ncaa,0.0001209557,0,,,dry_run_skipped
11,8696,N50539,"It's a decade where you'll meet multiple princesses, a new Queen, The King, Prince and the future King of Pop.",50+ Amazing Things That Happened in the '50s,lifestyle,lifestyledidyouknow,0.99997616,1,,,dry_run_skipped
12,41048,N38458,"When Monday's game against the Mavericks was tied at 86-86, one of the five Celtics on the floor wasn't even on an NBA roster last year. Now, that might not be surprising if the Celtics were floundering, but they're not. They're doing just the opposite. Now, there is an opportunity for others to contribute as a result of Gordon Hayward's injury. Even with that being the case, Javonte Green wasn't told by Brad Stevens he might see minutes in a...",Javonte Green didn't expect to play as much as he did vs. Mavericks,sports,basketball_nba,0.86899936,1,,,dry_run_skipped
