seed_id,nid,news_id,category,summary,variant,headline,clickbait_penalty,faithfulness,clarity,specificity,attractiveness,non_clickbait,overall,rationale,ranking,best_variant,worst_variant,judge_model,judge_error,nid_existing,news_id_existing,category_existing,summary_existing,headline_existing,clickbait_penalty_existing
1,19315,N33438,news,"There's really nothing easy about being a NASA astronaut on the International Space Station, and the same goes for spacewalking outside of the orbiting laboratory. It's hard work, and when spacewalks stretch on for hours and hours, you have to be in excellent physical condition to make it through.",original,NASA's Christina Koch got a little bit messy during first all-female spacewalk,0.9999181,5.0,5.0,4.0,4.0,5.0,4.0,"This headline captures the identity of a specific astronaut and an event, maintaining interest without adding unsupported claims.","[""original"", ""generic_sft"", ""specificity_sft""]",original,specificity_sft,gpt-4o-mini,,19315,N33438,news,"There's really nothing easy about being a NASA astronaut on the International Space Station, and the same goes for spacewalking outside of the orbiting laboratory. It's hard work, and when spacewalks stretch on for hours and hours, you have to be in excellent physical condition to make it through.",NASA's Christina Koch got a little bit messy during first all-female spacewalk,0.9999181
1,19315,N33438,news,"There's really nothing easy about being a NASA astronaut on the International Space Station, and the same goes for spacewalking outside of the orbiting laboratory. It's hard work, and when spacewalks stretch on for hours and hours, you have to be in excellent physical condition to make it through.",generic_sft,NASA astronauts need to be in good physical condition to make spacewalks,0.0014029072,4.0,5.0,3.0,3.0,5.0,4.0,"While it conveys a relevant point, it's generic and lacks the specific event or individual context found in the original.","[""original"", ""generic_sft"", ""specificity_sft""]",original,specificity_sft,gpt-4o-mini,,19315,N33438,news,"There's really nothing easy about being a NASA astronaut on the International Space Station, and the same goes for spacewalking outside of the orbiting laboratory. It's hard work, and when spacewalks stretch on for hours and hours, you have to be in excellent physical condition to make it through.",NASA astronauts need to be in good physical condition to make spacewalks,0.0014029072
1,19315,N33438,news,"There's really nothing easy about being a NASA astronaut on the International Space Station, and the same goes for spacewalking outside of the orbiting laboratory. It's hard work, and when spacewalks stretch on for hours and hours, you have to be in excellent physical condition to make it through.",specificity_sft,"Spacewalks are hard work, but you need to be in good physical condition to make spacewalks",0.19318032,4.0,5.0,3.0,3.0,5.0,4.0,"This variant offers specific information on the challenges of spacewalks, but does not capture any specific event or individual.","[""original"", ""generic_sft"", ""specificity_sft""]",original,specificity_sft,gpt-4o-mini,,19315,N33438,news,"There's really nothing easy about being a NASA astronaut on the International Space Station, and the same goes for spacewalking outside of the orbiting laboratory. It's hard work, and when spacewalks stretch on for hours and hours, you have to be in excellent physical condition to make it through.","Spacewalks are hard work, but you need to be in good physical condition to make spacewalks",0.19318032
2,44364,N60123,foodanddrink,"LODI -- Spain's king of red grapes, Tempranillo, has found a home in Lodi, where talented growers and winemakers respect and know how to handle the variety. To celebrate International Tempranillo Day, Bokisch Vineyards is putting on the fourth annual Lodi Tour of Tempranillo Friday through Sunday. This year, 13 boutique wineries in the Lodi American Viticultural Area will showcase their ...",original,Tour of Tempranillo offers taste of Lodi's take on the Spanish varietal,0.002086994,5,5,4,5,5,5,Captures event details with clarity and focuses on the celebration of Tempranillo.,"[""original"", ""generic_sft"", ""specificity_sft""]",original,specificity_sft,gpt-4o-mini,,44364,N60123,foodanddrink,"LODI -- Spain's king of red grapes, Tempranillo, has found a home in Lodi, where talented growers and winemakers respect and know how to handle the variety. To celebrate International Tempranillo Day, Bokisch Vineyards is putting on the fourth annual Lodi Tour of Tempranillo Friday through Sunday. This year, 13 boutique wineries in the Lodi American Viticultural Area will showcase their ...",Tour of Tempranillo offers taste of Lodi's take on the Spanish varietal,0.002086994
2,44364,N60123,foodanddrink,"LODI -- Spain's king of red grapes, Tempranillo, has found a home in Lodi, where talented growers and winemakers respect and know how to handle the variety. To celebrate International Tempranillo Day, Bokisch Vineyards is putting on the fourth annual Lodi Tour of Tempranillo Friday through Sunday. This year, 13 boutique wineries in the Lodi American Viticultural Area will showcase their ...",generic_sft,"Spain's king of red grapes, Tempranillo finds home in Lodi",0.00010266751,4,5,3,4,5,4,Faithfully presents the connection of Tempranillo to Lodi but lacks event details.,"[""original"", ""generic_sft"", ""specificity_sft""]",original,specificity_sft,gpt-4o-mini,,44364,N60123,foodanddrink,"LODI -- Spain's king of red grapes, Tempranillo, has found a home in Lodi, where talented growers and winemakers respect and know how to handle the variety. To celebrate International Tempranillo Day, Bokisch Vineyards is putting on the fourth annual Lodi Tour of Tempranillo Friday through Sunday. This year, 13 boutique wineries in the Lodi American Viticultural Area will showcase their ...","Spain's king of red grapes, Tempranillo finds home in Lodi",0.00010266751
2,44364,N60123,foodanddrink,"LODI -- Spain's king of red grapes, Tempranillo, has found a home in Lodi, where talented growers and winemakers respect and know how to handle the variety. To celebrate International Tempranillo Day, Bokisch Vineyards is putting on the fourth annual Lodi Tour of Tempranillo Friday through Sunday. This year, 13 boutique wineries in the Lodi American Viticultural Area will showcase their ...",specificity_sft,"Tempranillo: Spain's king of red grapes, Tempranillo finds home in Lodi",0.00016392846,4,5,3,4,5,4,Similar to generic_sft but slightly redundant; lacks event specifics.,"[""original"", ""generic_sft"", ""specificity_sft""]",original,specificity_sft,gpt-4o-mini,,44364,N60123,foodanddrink,"LODI -- Spain's king of red grapes, Tempranillo, has found a home in Lodi, where talented growers and winemakers respect and know how to handle the variety. To celebrate International Tempranillo Day, Bokisch Vineyards is putting on the fourth annual Lodi Tour of Tempranillo Friday through Sunday. This year, 13 boutique wineries in the Lodi American Viticultural Area will showcase their ...","Tempranillo: Spain's king of red grapes, Tempranillo finds home in Lodi",0.00016392846
3,24888,N27810,travel,"Today, roller coasters have become instruments of adrenaline (or torture, depending on your perspective). They break speed records, hurl passengers through space, and some are even designed to trick riders.",original,The Best Roller Coasters Around the World,0.99994266,3,4,3,4,4,3,The headline implies a subjective ranking without specifics on what makes them the 'best'.,"[""generic_sft"", ""specificity_sft"", ""original""]",generic_sft,original,gpt-4o-mini,,24888,N27810,travel,"Today, roller coasters have become instruments of adrenaline (or torture, depending on your perspective). They break speed records, hurl passengers through space, and some are even designed to trick riders.",The Best Roller Coasters Around the World,0.99994266
3,24888,N27810,travel,"Today, roller coasters have become instruments of adrenaline (or torture, depending on your perspective). They break speed records, hurl passengers through space, and some are even designed to trick riders.",generic_sft,"Roller coasters break speed records, hurl passengers through space",0.00031450033,4,5,4,4,5,4,"The headline accurately reflects the summary, capturing key aspects of roller coasters while being specific.","[""generic_sft"", ""specificity_sft"", ""original""]",generic_sft,original,gpt-4o-mini,,24888,N27810,travel,"Today, roller coasters have become instruments of adrenaline (or torture, depending on your perspective). They break speed records, hurl passengers through space, and some are even designed to trick riders.","Roller coasters break speed records, hurl passengers through space",0.00031450033
3,24888,N27810,travel,"Today, roller coasters have become instruments of adrenaline (or torture, depending on your perspective). They break speed records, hurl passengers through space, and some are even designed to trick riders.",specificity_sft,"Roller coasters break speed records, hurl passengers through space",0.00031450033,4,5,4,4,5,4,"This variant is identical to the generic_sft, garnering the same scores for its precise reflection of the summary.","[""generic_sft"", ""specificity_sft"", ""original""]",generic_sft,original,gpt-4o-mini,,24888,N27810,travel,"Today, roller coasters have become instruments of adrenaline (or torture, depending on your perspective). They break speed records, hurl passengers through space, and some are even designed to trick riders.","Roller coasters break speed records, hurl passengers through space",0.00031450033
4,50407,N13403,sports,"The Seattle Seahawks once again rallied for a win, this time over the previously unbeaten 49ers. And this Seattle team is for real, writes Mike Jones.",original,'We always believe': Win over 49ers proves Seattle Seahawks' mindset is more than just lip service,0.00012817541,5,5,5,4,5,5,Captures the essence of the game and team mindset.,"[""original"", ""generic_sft"", ""specificity_sft""]",original,specificity_sft,gpt-4o-mini,,50407,N13403,sports,"The Seattle Seahawks once again rallied for a win, this time over the previously unbeaten 49ers. And this Seattle team is for real, writes Mike Jones.",'We always believe': Win over 49ers proves Seattle Seahawks' mindset is more than just lip service,0.00012817541
