seed_id,category,summary,best_variant,worst_variant,original_headline,original_rationale,original_clickbait_penalty,original_faithfulness,original_clarity,original_specificity,original_attractiveness,original_non_clickbait,original_overall,zero_shot_headline,zero_shot_rationale,zero_shot_clickbait_penalty,zero_shot_faithfulness,zero_shot_clarity,zero_shot_specificity,zero_shot_attractiveness,zero_shot_non_clickbait,zero_shot_overall,optimized_headline,optimized_rationale,optimized_clickbait_penalty,optimized_faithfulness,optimized_clarity,optimized_specificity,optimized_attractiveness,optimized_non_clickbait,optimized_overall,agentic_selected_headline,agentic_selected_rationale,agentic_selected_clickbait_penalty,agentic_selected_faithfulness,agentic_selected_clarity,agentic_selected_specificity,agentic_selected_attractiveness,agentic_selected_non_clickbait,agentic_selected_overall,zero_shot_local_final_score,zero_shot_local_quality_reward,zero_shot_local_pairwise_reward,zero_shot_local_pred_faithfulness,zero_shot_local_pred_clarity,zero_shot_local_pred_specificity,zero_shot_local_pred_overall,optimized_local_final_score,optimized_local_quality_reward,optimized_local_pairwise_reward,optimized_local_pred_faithfulness,optimized_local_pred_clarity,optimized_local_pred_specificity,optimized_local_pred_overall,agentic_selected_local_final_score,agentic_selected_local_quality_reward,agentic_selected_local_pairwise_reward,agentic_selected_local_pred_faithfulness,agentic_selected_local_pred_clarity,agentic_selected_local_pred_specificity,agentic_selected_local_pred_overall,agentic_vs_zero_overall_delta,agentic_vs_optimized_overall_delta,agentic_vs_zero_faithfulness_delta,agentic_vs_zero_clarity_delta,agentic_vs_zero_specificity_delta,agentic_vs_zero_attractiveness_delta,agentic_vs_zero_non_clickbait_delta,agentic_vs_zero_local_delta,agentic_vs_optimized_local_delta,case_type,agentic_loss_dimensions_vs_zero
1,news,"There's really nothing easy about being a NASA astronaut on the International Space Station, and the same goes for spacewalking outside of the orbiting laboratory. It's hard work, and when spacewalks stretch on for hours and hours, you have to be in excellent physical condition to make it through.",zero_shot,original,NASA's Christina Koch got a little bit messy during first all-female spacewalk,"While it mentions a specific astronaut and a unique event, it doesn't fully convey the challenges discussed in the summary.",0.999892,3,3,3,3,4,3,NASA Astronauts on ISS Face Challenges of Long Spacewalks,Accurately reflects the challenges faced by astronauts and aligns closely with the summary.,0.00010971178,5,5,4,4,5,5,NASA Astronauts on ISS Face Challenges of Long Spacewalks,"Identical to zero_shot, and accurately represents the content of the summary.",0.00010971178,5,5,4,4,5,5,NASA Astronauts Face Challenges During Spacewalks on the ISS,"Effectively highlights the challenges faced by astronauts during spacewalks, consistent with the summary.",0.00016358134,5,5,4,4,5,5,6.432365,4.68208,0.6962812,4.85689,4.885587,4.633436,4.7633214,6.432365,4.68208,0.6962812,4.85689,4.885587,4.633436,4.7633214,6.1435165,4.47879,0.6726011,4.7001286,4.7814927,4.243772,4.4957066,0,0,0,0,0,0,0,-0.2888485000000003,-0.2888485000000003,tie_or_mixed,
2,foodanddrink,"LODI -- Spain's king of red grapes, Tempranillo, has found a home in Lodi, where talented growers and winemakers respect and know how to handle the variety. To celebrate International Tempranillo Day, Bokisch Vineyards is putting on the fourth annual Lodi Tour of Tempranillo Friday through Sunday. This year, 13 boutique wineries in the Lodi American Viticultural Area will showcase their ...",original,optimized,Tour of Tempranillo offers taste of Lodi's take on the Spanish varietal,Captures the essence and purpose of the event clearly and engagingly.,0.0002376439,5,5,5,4,5,5,Lodi Celebrates International Tempranillo Day with Winery Tour and Tastings,Accurately reflects the celebration of Tempranillo with specific event details.,0.000101894075,5,5,5,4,5,5,Lodi Celebrates International Tempranillo Day with Winery Tour and Tastings,"Identical to the zero_shot, also accurately describes the event without exaggeration.",0.000101894075,5,5,5,4,5,5,Lodi Hosts Fourth Annual Tour of Tempranillo This Weekend,Clearly communicates the event details while maintaining interest.,0.00014586773,5,5,5,4,5,5,6.5198545,4.7239714,0.7908407,4.8683696,4.883463,4.7181835,4.805086,6.5198545,4.7239714,0.7908407,4.8683696,4.883463,4.7181835,4.805086,6.503255,4.7174034,0.7589402,4.8699236,4.882144,4.7190776,4.8060102,0,0,0,0,0,0,0,-0.016599499999999878,-0.016599499999999878,tie_or_mixed,
3,travel,"Today, roller coasters have become instruments of adrenaline (or torture, depending on your perspective). They break speed records, hurl passengers through space, and some are even designed to trick riders.",agentic_selected,original,The Best Roller Coasters Around the World,"The headline suggests rankings, but lacks specifics from the summary.",0.99994624,3,4,2,3,4,3,Roller Coasters Today: Speed Records and Thrilling Designs,Captures the essence of the summary and provides specific elements.,0.0004820778,4,5,4,4,5,4,Roller Coasters Today: Speed Records and Thrilling Designs,Same as zero_shot; well articulated and specific to the summary.,0.0004820778,4,5,4,4,5,4,Roller Coasters: Thrilling Speed Records and Innovative Designs,Very engaging and covers all necessary aspects while remaining faithful.,0.00023779803,4,5,4,5,5,5,6.2819552,4.4695024,1.0881518,4.6609154,4.7772074,4.2046022,4.497764,6.2819552,4.4695024,1.0881518,4.6609154,4.7772074,4.2046022,4.497764,6.0739985,4.373767,0.92331755,4.5610523,4.73071,4.0059576,4.346936,1,1,0,0,0,1,0,-0.20795669999999955,-0.20795669999999955,local_reward_underestimates_agentic,
4,sports,"The Seattle Seahawks once again rallied for a win, this time over the previously unbeaten 49ers. And this Seattle team is for real, writes Mike Jones.",zero_shot,agentic_selected,We always believe': Win over 49ers proves Seattle Seahawks' mindset is more than just lip service,Captures the essence of the Seahawks' mindset and their win while attributing it to Mike Jones.,0.00021865632,5,5,5,4,5,5,Seattle Seahawks Defeat Unbeaten 49ers in a Thrilling Comeback Victory,Clearly conveys the main event with excitement and detail.,0.00014257236,5,5,5,5,5,5,Seattle Seahawks Defeat Unbeaten 49ers in a Thrilling Comeback Victory,Identical to zero_shot; effectively communicates the significance of the victory.,0.00014257236,5,5,5,5,5,5,Mike Jones Highlights Seahawks' Impressive Victory Over 49ers,Highlights Mike Jones but lacks the same excitement and detail about the event.,0.000116833195,5,5,4,4,5,4,6.35817,4.669379,0.53802186,4.842174,4.857371,4.6551003,4.7449236,6.35817,4.669379,0.53802186,4.842174,4.857371,4.6551003,4.7449236,6.481703,4.664088,0.85555065,4.833261,4.8483276,4.6721115,4.7405195,-1,-1,0,0,-1,-1,0,0.12353300000000011,0.12353300000000011,local_reward_overestimates_agentic,"specificity, attractiveness"
5,sports,Listed starters for the Cyclones and Longhorns in their 2019 Big 12 Conference matchup at Jack Trice Stadium in Ames.,original,optimized,Depth charts: Projected starters for Iowa State vs. No. 23 Texas,Accurately conveys the essence of the summary with clarity and specificity.,0.00014219871,5,5,5,4,5,5,Cyclones and Longhorns Announce Starters for 2019 Big 12 Matchup,Captures the matchup details clearly with relevant teams and event.,8.874534e-05,5,5,5,4,5,5,Cyclones and Longhorns Announce Starters for 2019 Big 12 Matchup,Identical to zero_shot; clear and specific about the matchup.,8.874534e-05,5,5,5,4,5,5,Cyclones and Longhorns Announce Starters for 2019 Big 12 Matchup,Identical to zero_shot; maintains clarity and specificity.,8.874534e-05,5,5,5,4,5,5,6.5468,4.7142377,0.8498505,4.863799,4.863076,4.7774925,4.816195,6.5468,4.7142377,0.8498505,4.863799,4.863076,4.7774925,4.816195,6.5468,4.7142377,0.8498505,4.863799,4.863076,4.7774925,4.816195,0,0,0,0,0,0,0,0.0,0.0,tie_or_mixed,
6,health,A local airman returned home to the Miami Valley on Friday and was greeted by dozens of family and friends.,zero_shot,original,Local Airman returns from 6 Months in Afghanistan,Clearly states the event and location but lacks details about the personal welcome.,7.13402e-05,5,5,4,4,5,4,Local airman returns home to Miami Valley to warm welcome from family and friends,"Accurately conveys the event with emphasis on the warm welcome, enhancing appeal.",0.0002580485,5,5,5,5,5,5,Local airman returns home to Miami Valley to warm welcome from family and friends,"Identical to zero_shot, effectively highlights the homecoming and welcome.",0.0002580485,5,5,5,5,5,5,Local Airman Returns Home to Miami Valley to Warm Welcome,Well-structured and similarly effective as the zero_shot and optimized headlines.,0.00011943014,5,5,5,5,5,5,6.6530457,4.7229447,1.1079931,4.86919,4.876531,4.752138,4.8059835,6.6530457,4.7229447,1.1079931,4.86919,4.876531,4.752138,4.8059835,6.614156,4.7237434,1.0132711,4.867895,4.8789034,4.7454557,4.801484,0,0,0,0,0,0,0,-0.03888969999999947,-0.03888969999999947,tie_or_mixed,
7,news,"Students at Hartford's new Weaver campus are working to erase stark lines dividing the building's two school communities, the public school drawing students from the neighborhoods and the magnet arts school that mostly serves the suburbs. Working with staff and administrators, they're trying to counteract some of the unintended consequences of relocating and reorganizing three high schools ...",original,agentic_selected,"Hartford's Weaver forging a new identity at campus shared by public, magnet students",Clearly conveys the main goal of the students and the context of the schools involved.,0.00042799397,5,5,5,4,5,5,Students at Hartford's Weaver campus aim to unite two school communities,Effectively communicates the aim of the students while maintaining clarity.,0.0012563798,5,5,5,4,5,5,Students at Hartford's Weaver campus aim to unite two school communities,"Same as zero_shot, it summarizes the key points concisely.",0.0012563798,5,5,5,4,5,5,Weaver Campus Students Address Divisions of Public and Magnet Arts Schools,Describes the situation accurately and highlights the initiative taken by students.,0.00035594133,5,5,5,4,5,5,6.551743,4.7198915,0.88689506,4.8656015,4.8846827,4.7064734,4.796686,6.551743,4.7198915,0.8868951,4.8656015,4.8846827,4.7064734,4.796686,6.514684,4.6902623,0.8791834,4.850502,4.8708744,4.666378,4.7560177,0,0,0,0,0,0,0,-0.037059000000000175,-0.037059000000000175,tie_or_mixed,
8,sports,"Considering that Domingue is slated to be an unrestricted free agent this summer, finding an opportunity to play regularly (even if it isn't necessarily at the NHL level to start with) would be ideal.",zero_shot,original,Louis Domingue changes agents amid attempt to play at NHL level again,Mentions agent change but lacks focus on free agency goals.,7.25154e-05,4,4,2,3,4,3,Domingue Seeks Regular Playing Opportunity Ahead of Free Agency,Captures Domingue's goal clearly and accurately.,0.000104090184,5,5,4,4,5,5,Domingue Seeks Regular Playing Opportunity Ahead of Free Agency,Identical to zero_shot; maintains clarity and accuracy.,0.000104090184,5,5,4,4,5,5,Domingue Seeking Regular Playing Opportunity Ahead of Free Agency,Similar to zero_shot with slight wording variation; remains strong.,0.00014255088,5,5,4,4,5,5,6.209888,4.5015483,0.79117244,4.685709,4.804673,4.266836,4.484534,6.209888,4.5015483,0.79117244,4.685709,4.804673,4.266836,4.484534,5.9721036,4.354798,0.69270205,4.5599375,4.7309623,4.0146356,4.240163,0,0,0,0,0,0,0,-0.23778440000000067,-0.23778440000000067,tie_or_mixed,
9,news,A driver was fatally shot in St. Paul on Sunday night and police are searching for the person responsible.,original,optimized,Driver dies after being shot in St. Paul's Summit-U area,Accurately describes the incident with clear information about location.,9.4133684e-05,5,5,4,4,5,4,"Driver Fatally Shot in St. Paul, Police Investigate Incident","Directly reports the incident with police involvement, clear and engaging.",8.47197e-05,5,5,4,4,5,4,"Driver Fatally Shot in St. Paul, Police Investigate Incident","Identical to zero_shot, maintains clarity and relevance.",8.47197e-05,5,5,4,4,5,4,Police Investigate Fatal Shooting of Driver in St. Paul,Highlights police investigation effectively while retaining clarity.,6.949725e-05,5,5,4,4,5,4,6.4766555,4.7009177,0.7247644,4.8682165,4.8818855,4.7116127,4.786676,6.4766555,4.7009177,0.7247644,4.8682165,4.8818855,4.7116127,4.786676,6.47087,4.698854,0.7217772,4.862611,4.87605,4.707402,4.7819176,0,0,0,0,0,0,0,-0.005785499999999999,-0.005785499999999999,tie_or_mixed,
10,sports,The playoffs begin next week across Oklahoma. Here is a complete list of the first-round playoff pairings for each class. Class 6A-I Moore at Edmond Santa Fe Jenks at Mustang Norman at Owasso Tulsa Union at Broken Arrow Class 6A-II Sapulpa at Stillwater Choctaw at Muskogee Midwest City at Bixby Tulsa Washington at Del City Class 5A Woodward at Noble Tulsa Kelley at Collinsville Pryor ...,zero_shot,original,High school football: First-round playoff pairings,"Covers the main theme and is clear, but lacks detail about the location.",0.00011913487,5,5,4,4,5,4,Oklahoma Playoffs Begin Next Week with First-Round Pairings Announced,Detailed and clear while maintaining interest without being clickbait.,7.894984e-05,5,5,4,5,5,5,Oklahoma Playoffs Begin Next Week with First-Round Pairings Announced,Identical to zero_shot; maintains a strong presentation.,7.894984e-05,5,5,4,5,5,5,Oklahoma Playoffs: First-Round Pairings for All Classes Announced,Provides clear context about Oklahoma playoffs with a compelling angle.,7.859595e-05,5,5,4,5,5,5,6.617356,4.716293,1.032315,4.868193,4.868157,4.7516747,4.814538,6.617356,4.716293,1.032315,4.868193,4.868157,4.7516747,4.814538,6.5741024,4.701014,0.9705945,4.865255,4.878493,4.7120337,4.7859564,0,0,0,0,0,0,0,-0.04325359999999989,-0.04325359999999989,tie_or_mixed,
