seed_id,agentic_selected_candidate_id,agentic_selected_candidate_rank,nid,news_id,summary,original_title,category,subvert,original_clickbait_penalty,original_predicted_clickbait,agentic_selected_title,candidate_model,candidate_error,agentic_clickbait_penalty,agentic_predicted_clickbait,candidate_pred_faithfulness,candidate_pred_clarity,candidate_pred_specificity,candidate_pred_attractiveness,candidate_pred_non_clickbait,candidate_pred_overall,agentic_quality_reward,agentic_pairwise_reward,agentic_final_score
1,1_c3,3,19315,N33438,"There's really nothing easy about being a NASA astronaut on the International Space Station, and the same goes for spacewalking outside of the orbiting laboratory. It's hard work, and when spacewalks stretch on for hours and hours, you have to be in excellent physical condition to make it through.",NASA's Christina Koch got a little bit messy during first all-female spacewalk,news,newsscienceandtechnology,0.9999181,1,Hard Work Required for NASA Astronauts on Spacewalks,gpt-4o-mini,,0.00013084601960144937,0.0,4.785390853881836,4.841920852661133,4.409207344055176,3.9490320682525635,4.875630855560303,4.626407146453857,4.567808628082275,0.699957013130188,4.742667198181152
2,2_c2,2,44364,N60123,"LODI -- Spain's king of red grapes, Tempranillo, has found a home in Lodi, where talented growers and winemakers respect and know how to handle the variety. To celebrate International Tempranillo Day, Bokisch Vineyards is putting on the fourth annual Lodi Tour of Tempranillo Friday through Sunday. This year, 13 boutique wineries in the Lodi American Viticultural Area will showcase their ...",Tour of Tempranillo offers taste of Lodi's take on the Spanish varietal,foodanddrink,newstrends,0.0020869977,0,Bokisch Vineyards Hosts Fourth Annual Lodi Tempranillo Tour This Weekend,gpt-4o-mini,,9.445613977732137e-05,0.0,4.856061935424805,4.868523597717285,4.710819244384766,4.215170860290527,4.893579006195068,4.795668601989746,4.707554817199707,0.8910019397735596,4.930211067199707
3,3_c3,3,24888,N27810,"Today, roller coasters have become instruments of adrenaline (or torture, depending on your perspective). They break speed records, hurl passengers through space, and some are even designed to trick riders.",The Best Roller Coasters Around the World,travel,traveltripideas,0.99994266,1,The Evolution of Roller Coasters: Adrenaline and Innovation,gpt-4o-mini,,0.041612476110458374,0.0,3.75032114982605,4.311526775360107,3.090231418609619,3.4124975204467773,4.449839115142822,3.5603787899017334,3.7538576126098633,0.4691275954246521,3.8295271396636963
4,4_c2,2,50407,N13403,"The Seattle Seahawks once again rallied for a win, this time over the previously unbeaten 49ers. And this Seattle team is for real, writes Mike Jones.",'We always believe': Win over 49ers proves Seattle Seahawks' mindset is more than just lip service,sports,football_nfl,0.00012817541,0,Mike Jones Reports Seahawks' Impressive Win Over 49ers,gpt-4o-mini,,9.529117232887074e-05,0.0,4.8234357833862305,4.845893383026123,4.623752593994141,4.090453147888184,4.875527381896973,4.7137041091918945,4.647095680236816,0.7692314982414246,4.839308261871338
5,5_c1,1,42378,N7244,Listed starters for the Cyclones and Longhorns in their 2019 Big 12 Conference matchup at Jack Trice Stadium in Ames.,Depth charts: Projected starters for Iowa State vs. No. 23 Texas,sports,football_ncaa,0.00015676561,0,Cyclones and Longhorns Announce Starters for Big 12 Matchup,gpt-4o-mini,,8.73520111781545e-05,0.0,4.8529372215271,4.858918190002441,4.751193046569824,4.178059101104736,4.887770652770996,4.797821521759033,4.703310489654541,0.8035567998886108,4.904112339019775
6,6_c1,1,63352,N1369,A local airman returned home to the Miami Valley on Friday and was greeted by dozens of family and friends.,Local Airman returns from 6 Months in Afghanistan,health,wellness,8.4165134e-05,0,Local Airman Welcomed Home by Family and Friends in Miami Valley,gpt-4o-mini,,0.0001501459046266973,0.0,4.856603622436523,4.871700286865234,4.716963768005371,4.203253746032715,4.894639015197754,4.7805376052856445,4.705350875854492,0.9568911790847778,4.944423675537109
7,7_c2,2,29280,N3913,"Students at Hartford's new Weaver campus are working to erase stark lines dividing the building's two school communities, the public school drawing students from the neighborhoods and the magnet arts school that mostly serves the suburbs. Working with staff and administrators, they're trying to counteract some of the unintended consequences of relocating and reorganizing three high schools ...","Hartford's Weaver forging a new identity at campus shared by public, magnet students",news,newsus,0.00013871084,0,Weaver Campus Students Work to Integrate Two School Communities,gpt-4o-mini,,0.00020266440697014332,0.0,4.840211868286133,4.872035503387451,4.642718315124512,4.18524169921875,4.896577835083008,4.751867294311523,4.683988094329834,0.8337669372558594,4.8922271728515625
8,8_c3,3,13158,N36369,"Considering that Domingue is slated to be an unrestricted free agent this summer, finding an opportunity to play regularly (even if it isn't necessarily at the NHL level to start with) would be ideal.",Louis Domingue changes agents amid attempt to play at NHL level again,sports,icehockey_nhl,7.8780766e-05,0,Domingue Looks for Playing Opportunities Ahead of Free Agency,gpt-4o-mini,,0.00011213226389372721,0.0,4.519908905029297,4.726478099822998,3.985297679901123,3.826326608657837,4.793313026428223,4.2578444480896,4.346790790557861,0.6272452473640442,4.503489971160889
9,9_c1,1,5749,N61058,A driver was fatally shot in St. Paul on Sunday night and police are searching for the person responsible.,Driver dies after being shot in St. Paul's Summit-U area,news,newsworld,7.788181e-05,0,Driver Fatally Shot in St. Paul on Sunday Night,gpt-4o-mini,,0.00010662867134669796,0.0,4.857670307159424,4.87380313873291,4.708133697509766,4.161913871765137,4.896139144897461,4.778246879577637,4.696336269378662,0.6108734011650085,4.848948001861572
10,10_c1,1,37719,N1117,The playoffs begin next week across Oklahoma. Here is a complete list of the first-round playoff pairings for each class. Class 6A-I Moore at Edmond Santa Fe Jenks at Mustang Norman at Owasso Tulsa Union at Broken Arrow Class 6A-II Sapulpa at Stillwater Choctaw at Muskogee Midwest City at Bixby Tulsa Washington at Del City Class 5A Woodward at Noble Tulsa Kelley at Collinsville Pryor ...,High school football: First-round playoff pairings,sports,basketball_ncaa,0.0001209557,0,Oklahoma Playoffs Start Next Week with First-Round Matchups,gpt-4o-mini,,7.627940067322925e-05,0.0,4.853750228881836,4.865084648132324,4.715051174163818,4.1640520095825195,4.898185729980469,4.784111499786377,4.696407794952393,0.956418514251709,4.935436248779297
11,11_c2,2,8696,N50539,"It's a decade where you'll meet multiple princesses, a new Queen, The King, Prince and the future King of Pop.",50+ Amazing Things That Happened in the '50s,lifestyle,lifestyledidyouknow,0.99997616,1,"A Decade of Princesses, New Queen, and Future King of Pop",gpt-4o-mini,,0.026697536930441856,0.0,4.726266860961914,4.833493709564209,4.354159355163574,3.9473257064819336,4.861990928649902,4.512670516967773,4.529746055603027,0.7825635075569153,4.6986894607543945
12,12_c1,1,41048,N38458,"When Monday's game against the Mavericks was tied at 86-86, one of the five Celtics on the floor wasn't even on an NBA roster last year. Now, that might not be surprising if the Celtics were floundering, but they're not. They're doing just the opposite. Now, there is an opportunity for others to contribute as a result of Gordon Hayward's injury. Even with that being the case, Javonte Green wasn't told by Brad Stevens he might see minutes in a...",Javonte Green didn't expect to play as much as he did vs. Mavericks,sports,basketball_nba,0.86899936,1,"{""headlines"":[""Celtics' Javonte Green Steps Up Amid Gordon Hayward's Injury"",""Celtics Thrive as Javonte Green Contributes After Last Year's Absence"",""Javonte Green Helps Celtics Tie Game Against Mavericks 86-86""}",gpt-4o-mini,,0.9527753591537476,1.0,4.343387603759766,4.578038215637207,3.733391046524048,3.5100138187408447,4.679035186767578,4.03195858001709,4.139615535736084,0.7620254755020142,3.3773465156555176
13,13_c1,1,55398,N31239,Game wardens are investigating a fatal crash involving an all-terrain passenger vehicle in a small town west of Belfast. The wardens say the crash killed 30-year-old Rachel Curtis of Montville in her hometown on Sunday. They say Curtis was a passenger on an ATV that was traveling on a dirt road when it crashed before noon. The warden service says it is working with the district attorney's office to determine if the driver of the ATV will be...,Charges possible after woman dies in ATV crash,travel,travelnews,8.0252066e-05,0,Game Wardens Investigate Fatal ATV Crash Near Belfast,gpt-4o-mini,,7.326818740693852e-05,0.0,4.857889175415039,4.870179176330566,4.7061309814453125,4.169011116027832,4.90245246887207,4.789088249206543,4.698997974395752,1.0005199909210205,4.949054718017578
14,14_c3,3,5962,N6385,Critics say Procter & Gamble contributes to deforestation and should use recycled materials for paper products,Environmentalists' new target? Charmin toilet paper,finance,finance-companies,7.264649e-05,0,Environmentalists Call for Recycled Materials in Procter & Gamble Products,gpt-4o-mini,,9.659690840635449e-05,0.0,4.824084758758545,4.86782169342041,4.6184163093566895,4.101570129394531,4.889847755432129,4.715606212615967,4.654308319091797,0.8920433521270752,4.877222537994385
15,15_c1,1,52250,N35503,Plant officials told workers during early shifts less than 12 hours after a proposed tentative contract agreement was announced publicly.,"Ford-UAW deal includes closing Romeo Engine Plant, moving 600 jobs",news,newsus,6.76546e-05,0,Plant Officials Inform Workers of Contract Agreement Within 12 Hours,gpt-4o-mini,,7.315410766750574e-05,0.0,4.853747367858887,4.870535850524902,4.703635215759277,4.175335884094238,4.898192405700684,4.781739234924316,4.6975321769714355,0.9318436980247498,4.930419921875
16,16_c1,1,9698,N59081,": CELEBS AND KID PARTIESTampa Theatre is shaking up its annual Halloween film festival Nightmare on Franklin Street with two live shows. Catch the popular horror-comedy podcast The Last Podcast on the Left at 8 p.m. Friday. $34.50-$44.50. And Barry Bostwick, the star of The Rocky Horror Picture Show, will give a talk before a screening of the cult classic at 7 p.m. and midnight ...",Top things to do in Tampa Bay this weekend: Oct. 18-20,travel,travelarticle,0.9996277,1,Tampa Theatre Hosts Halloween Festival with Live Shows and Talks,gpt-4o-mini,,9.391312778461725e-05,0.0,4.859360218048096,4.870938777923584,4.690915107727051,4.158509731292725,4.900374412536621,4.781632900238037,4.694039821624756,0.9080994129180908,4.920970916748047
17,17_c2,2,14125,N37428,State officials including Republican Gov. Greg Abbott have targeted Austin's left-leaning policies toward homelessness as encampments have grown more prevalent in Texas' capital city.,"Homeless Become More Visible in Austin, Sparking Political Clash",news,newsus,8.295391e-05,0,Gov. Greg Abbott Addresses Homelessness Policies in Austin,gpt-4o-mini,,7.480198837583885e-05,0.0,4.853240966796875,4.873316764831543,4.682231903076172,4.158639907836914,4.896205902099609,4.770525932312012,4.689854145050049,0.9276381731033325,4.921689033508301
18,18_c1,1,64779,N9321,"President Donald Trump was at Walter Reed National Medical Center on Saturday for what the White House said were medical tests as part of his annual physical. The appointment wasn't on his weekend public schedule that was released Friday night, and his last physical was in February. Press secretary Stephanie Grisham said the 73-year-old Trump was ``anticipating a very busy 2020'' and wanted to take advantage of ``a free...",White House: Trump having tests as part of medical checkup,news,newspolitics,0.000117346244,0,Trump Undergoes Medical Tests at Walter Reed National Medical Center,gpt-4o-mini,,7.875612209318206e-05,0.0,4.852108955383301,4.877983093261719,4.66425085067749,4.096752166748047,4.90810489654541,4.7475810050964355,4.674686908721924,0.4039754867553711,4.775601863861084
19,19_c3,3,18162,N1836,"In a small study, researchers found that exercising before breakfast led to more fat loss, but not weight loss, than eating beforehand.","The best time to exercise is before breakfast, a new study says",health,fitness,0.0006069636,0,Morning Workouts Prior to Eating Promote Fat Loss in Small Study,gpt-4o-mini,,0.0008981041028164327,0.0,4.807853698730469,4.849316596984863,4.5190534591674805,4.065786361694336,4.874265670776367,4.676225185394287,4.619138717651367,0.7420272827148438,4.803747653961182
20,20_c2,2,50785,N2830,"The Cincinnati Bengals lost running back Giovani Bernard to a knee injury during the team's Week 10 game against the Baltimore Ravens. Bernard went to the blue tent in the second quarter and the team quickly ruled him out. They then revised it to a doubtful tag before he unexpectedly made his return in the second half. At the time of the injury, the Ravens had a 28-3 lead and Bernard had turned two carries into 10 yards while serving as the...","Giovani Bernard suffers knee injury vs. Ravens, eventually returns",sports,football_nfl,9.860407e-05,0,Bengals Running Back Giovani Bernard Suffers Knee Injury in Week 10,gpt-4o-mini,,0.00021430233027786016,0.0,4.861904621124268,4.863434791564941,4.726597309112549,4.1410064697265625,4.890836238861084,4.790185928344727,4.694826602935791,0.6418958902359009,4.855086326599121
21,21_c1,1,35371,N10963,"In April of this year student activists called for acknowledgment of inaction regarding racism in Worcester's schools. Last month, Worcester voters took to the polls with their selections for the district's new School Committee. The vote reveals that student activists' calls for change have fallen upon deaf ears. With only one person of color elected, Worcester's schools will continue to be ...","As I See It: What Worcester's election means for school discipline, representation",lifestyle,lifestylesmartliving,0.0012295775,0,Worcester School Committee Election Shows Lack of Diversity,gpt-4o-mini,,6.467381172114983e-05,0.0,4.773616790771484,4.855980396270752,4.431170463562012,3.9672975540161133,4.881636619567871,4.598841667175293,4.572065830230713,0.6841790676116943,4.743045806884766
22,22_c1,1,57581,N1235,"South Jersey, Group 3 2-Ocean City at 1-Clearview How they got here: Ocean City and Clearivew seem to meet in the sectional final every season, and it's no shock to see both programs back with the years they've both put together. Ocean City continued its impressive play from a year ago, earning wins against Haddonfield and Bishop Eustace to prove itself as one of the state's best. The Red ...","South Jersey, Group 3 final preview: Ocean City at Clearview",news,newsus,9.059603e-05,0,Ocean City and Clearview Face Off in Sectional Final,gpt-4o-mini,,0.00012221935321576893,0.0,4.628983974456787,4.7542924880981445,4.256013870239258,3.8286514282226562,4.804811477661133,4.369873046875,4.432231426239014,0.4793602526187897,4.551949501037598
23,23_c1,1,57269,N30815,"Buy Microsoft on weakness to its semiannual value level at $131.71, or buy at Friday's close if the stock is above $138.17, the key weekly moving average. The target is its quarterly risky level at $152.47.",How to Trade Microsoft on Solid Earnings but No New Intraday High,finance,finance-top-stocks,0.00017857362,0,Invest in Microsoft at $131.71 or above $138.17,gpt-4o-mini,,7.009962428128347e-05,0.0,4.784605026245117,4.846832275390625,4.44798469543457,4.014225006103516,4.886990547180176,4.617831230163574,4.588050365447998,0.6950671672821045,4.761746883392334
