seed_id,candidate_label,variant,candidate_id,candidate_source,category,summary,headline,clickbait_penalty,local_final_score,llm_overall,persona,persona_description,trust,engagement,clarity,audience_fit,overall,rationale,persona_ranking,persona_best_candidate,is_persona_best,consensus_ranking,consensus_best_candidate,is_consensus_best,judge_model,judge_error
1,c1,original,original,human_editor,news,"There's really nothing easy about being a NASA astronaut on the International Space Station, and the same goes for spacewalking outside of the orbiting laboratory. It's hard work, and when spacewalks stretch on for hours and hours, you have to be in excellent physical condition to make it through.",NASA's Christina Koch got a little bit messy during first all-female spacewalk,0.999892,4.005561,3.0,trust_sensitive_reader,"Prioritizes factual accuracy, non-clickbait wording, and whether the headline feels safe to trust.",3,2,3,3,3,"Some specificity, but less relevant to the summary.","[""c2"", ""c3"", ""c4"", ""c5"", ""c1""]",c2,False,"[""c2"", ""c3"", ""c4"", ""c5"", ""c1""]",c2,False,gpt-4o-mini,
1,c2,zero_shot,zero_shot,api_zero_shot_generator,news,"There's really nothing easy about being a NASA astronaut on the International Space Station, and the same goes for spacewalking outside of the orbiting laboratory. It's hard work, and when spacewalks stretch on for hours and hours, you have to be in excellent physical condition to make it through.",NASA Astronauts on ISS Face Challenges of Long Spacewalks,0.00010971178,6.432365,5.0,trust_sensitive_reader,"Prioritizes factual accuracy, non-clickbait wording, and whether the headline feels safe to trust.",4,3,4,4,4,"Factual, relevant, and straightforward.","[""c2"", ""c3"", ""c4"", ""c5"", ""c1""]",c2,True,"[""c2"", ""c3"", ""c4"", ""c5"", ""c1""]",c2,True,gpt-4o-mini,
1,c3,agentic_selected,agentic_selected,agentic_selector_v3,news,"There's really nothing easy about being a NASA astronaut on the International Space Station, and the same goes for spacewalking outside of the orbiting laboratory. It's hard work, and when spacewalks stretch on for hours and hours, you have to be in excellent physical condition to make it through.",NASA Astronauts Face Challenges During Spacewalks on the ISS,0.00016358134,6.1435165,5.0,trust_sensitive_reader,"Prioritizes factual accuracy, non-clickbait wording, and whether the headline feels safe to trust.",4,3,4,4,4,Similar to c2 but slightly less concise.,"[""c2"", ""c3"", ""c4"", ""c5"", ""c1""]",c2,False,"[""c2"", ""c3"", ""c4"", ""c5"", ""c1""]",c2,False,gpt-4o-mini,
1,c4,generic_sft,generic_sft,generic_sft_generator,news,"There's really nothing easy about being a NASA astronaut on the International Space Station, and the same goes for spacewalking outside of the orbiting laboratory. It's hard work, and when spacewalks stretch on for hours and hours, you have to be in excellent physical condition to make it through.",NASA astronauts need to be in good physical condition to make spacewalks,0.0014029072,4.7968044,4.0,trust_sensitive_reader,"Prioritizes factual accuracy, non-clickbait wording, and whether the headline feels safe to trust.",4,2,4,4,4,Accurate but less engaging.,"[""c2"", ""c3"", ""c4"", ""c5"", ""c1""]",c2,False,"[""c2"", ""c3"", ""c4"", ""c5"", ""c1""]",c2,False,gpt-4o-mini,
1,c5,specificity_sft,specificity_sft,specificity_sft_generator,news,"There's really nothing easy about being a NASA astronaut on the International Space Station, and the same goes for spacewalking outside of the orbiting laboratory. It's hard work, and when spacewalks stretch on for hours and hours, you have to be in excellent physical condition to make it through.","Spacewalks are hard work, but you need to be in good physical condition to make spacewalks",0.19318032,4.6787696,4.0,trust_sensitive_reader,"Prioritizes factual accuracy, non-clickbait wording, and whether the headline feels safe to trust.",4,2,4,4,4,Accurate but repetitive.,"[""c2"", ""c3"", ""c4"", ""c5"", ""c1""]",c2,False,"[""c2"", ""c3"", ""c4"", ""c5"", ""c1""]",c2,False,gpt-4o-mini,
1,c1,original,original,human_editor,news,"There's really nothing easy about being a NASA astronaut on the International Space Station, and the same goes for spacewalking outside of the orbiting laboratory. It's hard work, and when spacewalks stretch on for hours and hours, you have to be in excellent physical condition to make it through.",NASA's Christina Koch got a little bit messy during first all-female spacewalk,0.999892,4.005561,3.0,growth_reader,Represents user-growth goals: wants a headline that attracts clicks without feeling manipulative.,2,4,3,3,3,Engaging but less informative.,"[""c2"", ""c3"", ""c4"", ""c5"", ""c1""]",c2,False,"[""c2"", ""c3"", ""c4"", ""c5"", ""c1""]",c2,False,gpt-4o-mini,
1,c2,zero_shot,zero_shot,api_zero_shot_generator,news,"There's really nothing easy about being a NASA astronaut on the International Space Station, and the same goes for spacewalking outside of the orbiting laboratory. It's hard work, and when spacewalks stretch on for hours and hours, you have to be in excellent physical condition to make it through.",NASA Astronauts on ISS Face Challenges of Long Spacewalks,0.00010971178,6.432365,5.0,growth_reader,Represents user-growth goals: wants a headline that attracts clicks without feeling manipulative.,4,5,4,5,5,Strong balance of clarity and engagement.,"[""c2"", ""c3"", ""c4"", ""c5"", ""c1""]",c2,True,"[""c2"", ""c3"", ""c4"", ""c5"", ""c1""]",c2,True,gpt-4o-mini,
1,c3,agentic_selected,agentic_selected,agentic_selector_v3,news,"There's really nothing easy about being a NASA astronaut on the International Space Station, and the same goes for spacewalking outside of the orbiting laboratory. It's hard work, and when spacewalks stretch on for hours and hours, you have to be in excellent physical condition to make it through.",NASA Astronauts Face Challenges During Spacewalks on the ISS,0.00016358134,6.1435165,5.0,growth_reader,Represents user-growth goals: wants a headline that attracts clicks without feeling manipulative.,4,4,4,4,4,Good but slightly less engaging than c2.,"[""c2"", ""c3"", ""c4"", ""c5"", ""c1""]",c2,False,"[""c2"", ""c3"", ""c4"", ""c5"", ""c1""]",c2,False,gpt-4o-mini,
1,c4,generic_sft,generic_sft,generic_sft_generator,news,"There's really nothing easy about being a NASA astronaut on the International Space Station, and the same goes for spacewalking outside of the orbiting laboratory. It's hard work, and when spacewalks stretch on for hours and hours, you have to be in excellent physical condition to make it through.",NASA astronauts need to be in good physical condition to make spacewalks,0.0014029072,4.7968044,4.0,growth_reader,Represents user-growth goals: wants a headline that attracts clicks without feeling manipulative.,4,3,5,4,4,Clear and informative but less engaging.,"[""c2"", ""c3"", ""c4"", ""c5"", ""c1""]",c2,False,"[""c2"", ""c3"", ""c4"", ""c5"", ""c1""]",c2,False,gpt-4o-mini,
1,c5,specificity_sft,specificity_sft,specificity_sft_generator,news,"There's really nothing easy about being a NASA astronaut on the International Space Station, and the same goes for spacewalking outside of the orbiting laboratory. It's hard work, and when spacewalks stretch on for hours and hours, you have to be in excellent physical condition to make it through.","Spacewalks are hard work, but you need to be in good physical condition to make spacewalks",0.19318032,4.6787696,4.0,growth_reader,Represents user-growth goals: wants a headline that attracts clicks without feeling manipulative.,4,3,5,4,4,Clear but feels repetitive.,"[""c2"", ""c3"", ""c4"", ""c5"", ""c1""]",c2,False,"[""c2"", ""c3"", ""c4"", ""c5"", ""c1""]",c2,False,gpt-4o-mini,
