seed_id,category,summary,original_headline,original_rationale,original_faithfulness,original_clarity,original_specificity,original_attractiveness,original_non_clickbait,original_overall,generic_sft_headline,generic_sft_rationale,generic_sft_faithfulness,generic_sft_clarity,generic_sft_specificity,generic_sft_attractiveness,generic_sft_non_clickbait,generic_sft_overall,specificity_sft_headline,specificity_sft_rationale,specificity_sft_faithfulness,specificity_sft_clarity,specificity_sft_specificity,specificity_sft_attractiveness,specificity_sft_non_clickbait,specificity_sft_overall,original_clickbait_penalty,original_quality_reward,original_pairwise_reward,original_final_score,original_reference_token_f1,original_summary_support_rate,original_headline_word_count,original_has_specific_signal,generic_sft_clickbait_penalty,generic_sft_quality_reward,generic_sft_pairwise_reward,generic_sft_final_score,generic_sft_reference_token_f1,generic_sft_summary_support_rate,generic_sft_headline_word_count,generic_sft_has_specific_signal,specificity_sft_clickbait_penalty,specificity_sft_quality_reward,specificity_sft_pairwise_reward,specificity_sft_final_score,specificity_sft_reference_token_f1,specificity_sft_summary_support_rate,specificity_sft_headline_word_count,specificity_sft_has_specific_signal,specificity_minus_generic_faithfulness,specificity_minus_original_faithfulness,generic_minus_original_faithfulness,specificity_minus_generic_clarity,specificity_minus_original_clarity,generic_minus_original_clarity,specificity_minus_generic_specificity,specificity_minus_original_specificity,generic_minus_original_specificity,specificity_minus_generic_attractiveness,specificity_minus_original_attractiveness,generic_minus_original_attractiveness,specificity_minus_generic_non_clickbait,specificity_minus_original_non_clickbait,generic_minus_original_non_clickbait,specificity_minus_generic_overall,specificity_minus_original_overall,generic_minus_original_overall,failure_group
1,news,"There's really nothing easy about being a NASA astronaut on the International Space Station, and the same goes for spacewalking outside of the orbiting laboratory. It's hard work, and when spacewalks stretch on for hours and hours, you have to be in excellent physical condition to make it through.",NASA's Christina Koch got a little bit messy during first all-female spacewalk,"This headline captures the identity of a specific astronaut and an event, maintaining interest without adding unsupported claims.",5.0,5.0,4.0,4.0,5.0,4.0,NASA astronauts need to be in good physical condition to make spacewalks,"While it conveys a relevant point, it's generic and lacks the specific event or individual context found in the original.",4.0,5.0,3.0,3.0,5.0,4.0,"Spacewalks are hard work, but you need to be in good physical condition to make spacewalks","This variant offers specific information on the challenges of spacewalks, but does not capture any specific event or individual.",4.0,5.0,3.0,3.0,5.0,4.0,0.9999181,3.4760218,-0.06396885,2.9600706,1.0,0.0,13,True,0.0014029072,4.621839,0.7026676,4.7968044,0.0,0.625,12,False,0.19318032,4.6012,0.6966382,4.6787696,0.0,0.7,16,False,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,sft_tie
2,foodanddrink,"LODI -- Spain's king of red grapes, Tempranillo, has found a home in Lodi, where talented growers and winemakers respect and know how to handle the variety. To celebrate International Tempranillo Day, Bokisch Vineyards is putting on the fourth annual Lodi Tour of Tempranillo Friday through Sunday. This year, 13 boutique wineries in the Lodi American Viticultural Area will showcase their ...",Tour of Tempranillo offers taste of Lodi's take on the Spanish varietal,Captures event details with clarity and focuses on the celebration of Tempranillo.,5.0,5.0,4.0,5.0,5.0,5.0,"Spain's king of red grapes, Tempranillo finds home in Lodi",Faithfully presents the connection of Tempranillo to Lodi but lacks event details.,4.0,5.0,3.0,4.0,5.0,4.0,"Tempranillo: Spain's king of red grapes, Tempranillo finds home in Lodi",Similar to generic_sft but slightly redundant; lacks event specifics.,4.0,5.0,3.0,4.0,5.0,4.0,0.002086994,4.672064,0.6037939,4.821969,1.0,0.25,12,True,0.00010266751,4.682578,0.6837976,4.853476,0.125,0.875,10,True,0.00016392846,4.6766815,0.7505419,4.864235,0.125,0.875,11,True,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,original_best_sft_tie
3,travel,"Today, roller coasters have become instruments of adrenaline (or torture, depending on your perspective). They break speed records, hurl passengers through space, and some are even designed to trick riders.",The Best Roller Coasters Around the World,The headline implies a subjective ranking without specifics on what makes them the 'best'.,3.0,4.0,3.0,4.0,4.0,3.0,"Roller coasters break speed records, hurl passengers through space","The headline accurately reflects the summary, capturing key aspects of roller coasters while being specific.",4.0,5.0,4.0,4.0,5.0,4.0,"Roller coasters break speed records, hurl passengers through space","This variant is identical to the generic_sft, garnering the same scores for its precise reflection of the summary.",4.0,5.0,4.0,4.0,5.0,4.0,0.99994266,3.0502784,0.09927301,2.5751252,1.0,0.4,7,True,0.00031450033,4.65588,1.0053914,4.9070706,0.2857142857142857,1.0,9,False,0.00031450033,4.65588,1.0053914,4.9070706,0.2857142857142857,1.0,9,False,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,sft_tie
4,sports,"The Seattle Seahawks once again rallied for a win, this time over the previously unbeaten 49ers. And this Seattle team is for real, writes Mike Jones.",'We always believe': Win over 49ers proves Seattle Seahawks' mindset is more than just lip service,Captures the essence of the game and team mindset.,5.0,5.0,5.0,4.0,5.0,5.0,Seattle Seahawks win over 49ers,Describes the outcome but lacks nuance about the significance.,4.0,5.0,3.0,3.0,5.0,4.0,Seattle Seahawks win over 49ers,"Same as generic, lacking context and detail.",4.0,5.0,3.0,3.0,5.0,4.0,0.00012817541,3.9887772,0.29814067,4.0632486,1.0,0.2666666666666666,16,True,7.658858e-05,4.6705885,0.5342021,4.804101,0.4,1.0,5,True,7.658858e-05,4.6705885,0.5342021,4.804101,0.4,1.0,5,True,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,-2.0,-2.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,original_best_sft_tie
5,sports,Listed starters for the Cyclones and Longhorns in their 2019 Big 12 Conference matchup at Jack Trice Stadium in Ames.,Depth charts: Projected starters for Iowa State vs. No. 23 Texas,Accurately summarizes the content while maintaining clarity and specificity.,5.0,5.0,5.0,4.0,5.0,5.0,Cyclones and Longhorns Listed starters for 2019 Big 12 Conference matchup at Jack Trice Stadium,"While it conveys the teams and event, it's less engaging and structured awkwardly.",4.0,4.0,4.0,3.0,4.0,3.0,Cyclones and Longhorns Listed starters for 2019 Big 12 Conference matchup at Jack Trice Stadium,Similar issues as the generic variant; lacks engagement despite details.,4.0,4.0,4.0,3.0,4.0,3.0,0.00015676547,4.6947236,0.39811856,4.794175,1.0,0.1428571428571428,11,True,0.00020681668,4.698399,0.99741745,4.94765,0.1111111111111111,1.0,15,True,0.00020681668,4.698399,0.99741745,4.94765,0.1111111111111111,1.0,15,True,0.0,-1.0,-1.0,0.0,-1.0,-1.0,0.0,-1.0,-1.0,0.0,-1.0,-1.0,0.0,-1.0,-1.0,0.0,-2.0,-2.0,original_best_sft_tie
6,health,A local airman returned home to the Miami Valley on Friday and was greeted by dozens of family and friends.,Local Airman returns from 6 Months in Afghanistan,"The headline accurately conveys the key facts and context, including location and duration.",5.0,5.0,5.0,4.0,5.0,5.0,"Airman returns home to Miami Valley, greeted by family and friends",This headline encompasses the homecoming event and its emotional context effectively.,5.0,5.0,5.0,5.0,5.0,5.0,Airman returns home to Miami Valley,"While accurate, this headline lacks the emotional context of family and friends.",5.0,5.0,4.0,3.0,5.0,4.0,8.4165215e-05,4.495592,0.4748003,4.61425,1.0,0.4,8,True,0.00011980369,4.706705,1.1079309,4.983628,0.3076923076923077,0.875,11,True,9.1301124e-05,4.7009706,0.94781005,4.937877,0.4000000000000001,0.8,6,True,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,-2.0,-1.0,1.0,0.0,0.0,0.0,-1.0,-1.0,0.0,generic_best
7,news,"Students at Hartford's new Weaver campus are working to erase stark lines dividing the building's two school communities, the public school drawing students from the neighborhoods and the magnet arts school that mostly serves the suburbs. Working with staff and administrators, they're trying to counteract some of the unintended consequences of relocating and reorganizing three high schools ...","Hartford's Weaver forging a new identity at campus shared by public, magnet students",Accurately conveys the effort to unite the two school communities with clarity but could include more specific details.,5.0,5.0,4.0,4.0,5.0,4.0,Hartford's new Weaver campus works to erase stark lines,Fairly concise but lacks specific context about the two school communities.,4.0,5.0,2.0,3.0,5.0,4.0,Hartford's new Weaver campus works to erase stark lines dividing the building's two school communities,"Highly specific and clear, but slightly less attractive due to its length.",5.0,5.0,5.0,3.0,5.0,4.0,0.00013871057,4.6294928,0.7405252,4.8145547,1.0,0.7,13,True,7.905018e-05,4.700725,0.96684706,4.942397,0.4444444444444445,0.875,9,True,0.00016176516,4.7079663,1.0720029,4.975886,0.3478260869565217,0.9230769230769232,15,True,1.0,0.0,-1.0,0.0,0.0,0.0,3.0,1.0,-2.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,sft_tie
8,sports,"Considering that Domingue is slated to be an unrestricted free agent this summer, finding an opportunity to play regularly (even if it isn't necessarily at the NHL level to start with) would be ideal.",Louis Domingue changes agents amid attempt to play at NHL level again,"The headline accurately reflects Domingue's situation, is clear, specific, and not clickbait.",5.0,5.0,5.0,4.0,5.0,5.0,"Domingue is a free agent, but he's not a regular at the NHL level","While it relates to his status as a free agent, it lacks clarity and specificity about his attempt to play regularly.",4.0,4.0,3.0,3.0,4.0,3.0,Domingue to be free agent this summer,It correctly states his status but doesn’t capture the full context of his career intentions.,4.0,4.0,4.0,3.0,5.0,4.0,7.878077e-05,3.3075447,0.3818859,3.4029768,1.0,0.4,12,True,0.00063491834,4.343393,0.4774021,4.4624257,0.3157894736842105,0.5555555555555556,14,True,0.0003692042,4.3384275,0.6771591,4.5075326,0.1428571428571428,1.0,7,False,0.0,-1.0,-1.0,0.0,-1.0,-1.0,1.0,-1.0,-2.0,0.0,-1.0,-1.0,1.0,0.0,-1.0,1.0,-1.0,-2.0,original_best_specificity_above_generic
9,news,A driver was fatally shot in St. Paul on Sunday night and police are searching for the person responsible.,Driver dies after being shot in St. Paul's Summit-U area,Includes specific area and details of the incident while maintaining clarity.,5.0,5.0,5.0,4.0,5.0,5.0,Driver fatally shot in St. Paul,Describes the event accurately but lacks specific location detail found in the original.,5.0,5.0,4.0,3.0,5.0,4.0,Driver fatally shot in St. Paul,"Identical to generic_sft; hence, scores are the same.",5.0,5.0,4.0,3.0,5.0,4.0,7.788159e-05,4.4747925,0.18850517,4.5218797,1.0,0.25,11,True,9.153038e-05,4.687585,0.58422816,4.833596,0.3333333333333333,1.0,6,True,9.153038e-05,4.687585,0.58422816,4.833596,0.3333333333333333,1.0,6,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,original_best_sft_tie
10,sports,The playoffs begin next week across Oklahoma. Here is a complete list of the first-round playoff pairings for each class. Class 6A-I Moore at Edmond Santa Fe Jenks at Mustang Norman at Owasso Tulsa Union at Broken Arrow Class 6A-II Sapulpa at Stillwater Choctaw at Muskogee Midwest City at Bixby Tulsa Washington at Del City Class 5A Woodward at Noble Tulsa Kelley at Collinsville Pryor ...,High school football: First-round playoff pairings,Effectively conveys the main event with good clarity and relevance.,5.0,5.0,4.0,4.0,5.0,4.0,Oklahoma's first-round playoff pairings begin next week,"Less specific and lacks detail about the pairings, but remains clear.",4.0,4.0,3.0,3.0,5.0,3.0,Oklahoma's first-round playoff pairings: Class 6A-I Moore at Edmond Santa Fe Jenks at Mustang Norman at Owass,Highly specific with concrete details that engage readers without being manipulative.,4.0,4.0,5.0,5.0,5.0,5.0,0.00012095628,4.483592,0.8274108,4.6903844,1.0,0.5714285714285714,7,True,8.8048066e-05,4.695371,0.99694407,4.9445634,0.5333333333333333,0.875,8,False,0.000116107854,4.696193,1.0569468,4.960372,0.4,0.8461538461538461,19,True,0.0,-1.0,-1.0,0.0,-1.0,-1.0,2.0,1.0,-1.0,2.0,1.0,-1.0,0.0,0.0,0.0,2.0,1.0,-1.0,specificity_best
