seed_id,nid,news_id,summary,original_title,category,subvert,original_clickbait_penalty,original_predicted_clickbait,zero_shot_title,zero_shot_model,zero_shot_error,zero_shot_title_clean,zero_shot_clickbait_penalty,zero_shot_predicted_clickbait,clickbait_penalty_delta,clickbait_penalty_reduced,clickbait_threshold,rewritten_title,rewrite_model,rewrite_error,rewritten_title_clean,rewritten_clickbait_penalty,rewritten_predicted_clickbait,rewrite_vs_zero_shot_delta,rewrite_vs_original_delta,final_title,final_clickbait_penalty,final_predicted_clickbait,round2_title,round2_model,round2_error,round2_title_clean,round2_clickbait_penalty,round2_predicted_clickbait,round2_vs_round1_delta,round2_final_title,round2_final_clickbait_penalty,round2_final_predicted_clickbait
1,19315,N33438,"There's really nothing easy about being a NASA astronaut on the International Space Station, and the same goes for spacewalking outside of the orbiting laboratory. It's hard work, and when spacewalks stretch on for hours and hours, you have to be in excellent physical condition to make it through.",NASA's Christina Koch got a little bit messy during first all-female spacewalk,news,newsscienceandtechnology,0.9999181,1,NASA Astronauts on ISS Face Challenges of Long Spacewalks,gpt-4o-mini,,NASA Astronauts on ISS Face Challenges of Long Spacewalks,0.0001108256,0,-0.9998072744035064,True,0.5,,,,,,,,,NASA Astronauts on ISS Face Challenges of Long Spacewalks,0.0001108256,0,,,,,,,,NASA Astronauts on ISS Face Challenges of Long Spacewalks,0.0001108256,0
2,44364,N60123,"LODI -- Spain's king of red grapes, Tempranillo, has found a home in Lodi, where talented growers and winemakers respect and know how to handle the variety. To celebrate International Tempranillo Day, Bokisch Vineyards is putting on the fourth annual Lodi Tour of Tempranillo Friday through Sunday. This year, 13 boutique wineries in the Lodi American Viticultural Area will showcase their ...",Tour of Tempranillo offers taste of Lodi's take on the Spanish varietal,foodanddrink,newstrends,0.0020869977,0,Lodi Celebrates International Tempranillo Day with Winery Tour and Tastings,gpt-4o-mini,,Lodi Celebrates International Tempranillo Day with Winery Tour and Tastings,0.00010743384,0,-0.0019795638566318,True,0.5,,,,,,,,,Lodi Celebrates International Tempranillo Day with Winery Tour and Tastings,0.00010743384,0,,,,,,,,Lodi Celebrates International Tempranillo Day with Winery Tour and Tastings,0.00010743384,0
3,24888,N27810,"Today, roller coasters have become instruments of adrenaline (or torture, depending on your perspective). They break speed records, hurl passengers through space, and some are even designed to trick riders.",The Best Roller Coasters Around the World,travel,traveltripideas,0.99994266,1,Roller Coasters Today: Speed Records and Thrilling Designs,gpt-4o-mini,,Roller Coasters Today: Speed Records and Thrilling Designs,0.00036492007,0,-0.999577739933796,True,0.5,,,,,,,,,Roller Coasters Today: Speed Records and Thrilling Designs,0.00036492007,0,,,,,,,,Roller Coasters Today: Speed Records and Thrilling Designs,0.00036492007,0
4,50407,N13403,"The Seattle Seahawks once again rallied for a win, this time over the previously unbeaten 49ers. And this Seattle team is for real, writes Mike Jones.",'We always believe': Win over 49ers proves Seattle Seahawks' mindset is more than just lip service,sports,football_nfl,0.00012817541,0,Seattle Seahawks Defeat Unbeaten 49ers in a Thrilling Comeback Victory,gpt-4o-mini,,Seattle Seahawks Defeat Unbeaten 49ers in a Thrilling Comeback Victory,0.00010405485,0,-2.412055772761613e-05,True,0.5,,,,,,,,,Seattle Seahawks Defeat Unbeaten 49ers in a Thrilling Comeback Victory,0.00010405485,0,,,,,,,,Seattle Seahawks Defeat Unbeaten 49ers in a Thrilling Comeback Victory,0.00010405485,0
5,42378,N7244,Listed starters for the Cyclones and Longhorns in their 2019 Big 12 Conference matchup at Jack Trice Stadium in Ames.,Depth charts: Projected starters for Iowa State vs. No. 23 Texas,sports,football_ncaa,0.00015676561,0,Cyclones and Longhorns Announce Starters for 2019 Big 12 Matchup,gpt-4o-mini,,Cyclones and Longhorns Announce Starters for 2019 Big 12 Matchup,9.932392e-05,0,-5.74416872317648e-05,True,0.5,,,,,,,,,Cyclones and Longhorns Announce Starters for 2019 Big 12 Matchup,9.932392e-05,0,,,,,,,,Cyclones and Longhorns Announce Starters for 2019 Big 12 Matchup,9.932392e-05,0
6,63352,N1369,A local airman returned home to the Miami Valley on Friday and was greeted by dozens of family and friends.,Local Airman returns from 6 Months in Afghanistan,health,wellness,8.4165134e-05,0,Local airman returns home to Miami Valley to warm welcome from family and friends.,gpt-4o-mini,,Local airman returns home to Miami Valley to warm welcome from family and friends,9.939583e-05,0,1.5230697057336184e-05,False,0.5,,,,,,,,,Local airman returns home to Miami Valley to warm welcome from family and friends,9.939583e-05,0,,,,,,,,Local airman returns home to Miami Valley to warm welcome from family and friends,9.939583e-05,0
7,29280,N3913,"Students at Hartford's new Weaver campus are working to erase stark lines dividing the building's two school communities, the public school drawing students from the neighborhoods and the magnet arts school that mostly serves the suburbs. Working with staff and administrators, they're trying to counteract some of the unintended consequences of relocating and reorganizing three high schools ...","Hartford's Weaver forging a new identity at campus shared by public, magnet students",news,newsus,0.00013871084,0,Students at Hartford's Weaver campus aim to unite two school communities.,gpt-4o-mini,,Students at Hartford's Weaver campus aim to unite two school communities,0.0004026209,0,0.0002639100662431,False,0.5,,,,,,,,,Students at Hartford's Weaver campus aim to unite two school communities,0.0004026209,0,,,,,,,,Students at Hartford's Weaver campus aim to unite two school communities,0.0004026209,0
8,13158,N36369,"Considering that Domingue is slated to be an unrestricted free agent this summer, finding an opportunity to play regularly (even if it isn't necessarily at the NHL level to start with) would be ideal.",Louis Domingue changes agents amid attempt to play at NHL level again,sports,icehockey_nhl,7.8780766e-05,0,Domingue Seeks Regular Playing Opportunity Ahead of Free Agency,gpt-4o-mini,,Domingue Seeks Regular Playing Opportunity Ahead of Free Agency,0.00010380648,0,2.50257141832661e-05,False,0.5,,,,,,,,,Domingue Seeks Regular Playing Opportunity Ahead of Free Agency,0.00010380648,0,,,,,,,,Domingue Seeks Regular Playing Opportunity Ahead of Free Agency,0.00010380648,0
9,5749,N61058,A driver was fatally shot in St. Paul on Sunday night and police are searching for the person responsible.,Driver dies after being shot in St. Paul's Summit-U area,news,newsworld,7.788181e-05,0,"Driver Fatally Shot in St. Paul, Police Investigate Incident",gpt-4o-mini,,"Driver Fatally Shot in St. Paul, Police Investigate Incident",7.7094264e-05,0,-7.875457297278917e-07,True,0.5,,,,,,,,,"Driver Fatally Shot in St. Paul, Police Investigate Incident",7.7094264e-05,0,,,,,,,,"Driver Fatally Shot in St. Paul, Police Investigate Incident",7.7094264e-05,0
10,37719,N1117,The playoffs begin next week across Oklahoma. Here is a complete list of the first-round playoff pairings for each class. Class 6A-I Moore at Edmond Santa Fe Jenks at Mustang Norman at Owasso Tulsa Union at Broken Arrow Class 6A-II Sapulpa at Stillwater Choctaw at Muskogee Midwest City at Bixby Tulsa Washington at Del City Class 5A Woodward at Noble Tulsa Kelley at Collinsville Pryor ...,High school football: First-round playoff pairings,sports,basketball_ncaa,0.0001209557,0,Oklahoma Playoffs Begin Next Week with First-Round Pairings Announced,gpt-4o-mini,,Oklahoma Playoffs Begin Next Week with First-Round Pairings Announced,7.280586e-05,0,-4.8149841491781925e-05,True,0.5,,,,,,,,,Oklahoma Playoffs Begin Next Week with First-Round Pairings Announced,7.280586e-05,0,,,,,,,,Oklahoma Playoffs Begin Next Week with First-Round Pairings Announced,7.280586e-05,0
